Peak,chr,start,end,FDR,Genes,Genes_n,Module
chr7:140335570-140336070,chr7,140335570,140336070,3.07546E-27,DENND2A,1,indianred3
chr7:32656120-32656620,chr7,32656120,32656620,3.06785E-26,"RP9P, RP9",2,indianred3
chr2:28903844-28904344,chr2,28903844,28904344,3.80677E-26,WDR43,1,indianred3
chr8:27510037-27510537,chr8,27510037,27510537,6.51731E-26,CLU,1,indianred3
chr7:129471198-129471698,chr7,129471198,129471698,1.24063E-25,ZC3HC1,1,indianred3
chr11:114165599-114166099,chr11,114165599,114166099,1.74477E-25,NNMT,1,indianred3
chr2:43302900-43303400,chr2,43302900,43303400,2.72574E-25,ZFP36L2,1,indianred3
chr17:43423543-43424043,chr17,43423543,43424043,3.65753E-25,"GFAP, MAP3K14",2,indianred3
chr7:140338140-140338640,chr7,140338140,140338640,1.92857E-24,DENND2A,1,indianred3
chr7:28712056-28712556,chr7,28712056,28712556,8.40823E-24,CPVL,1,indianred3
chr7:91187202-91187702,chr7,91187202,91187702,8.93095E-24,"FZD1, MTERF1",2,indianred3
chr1:201819010-201819510,chr1,201819010,201819510,2.26284E-23,LGR6,1,indianred3
chrX:2623404-2623904,chrX,2623404,2623904,6.255E-23,"DHRSX, CD99P1, CD99",3,indianred3
chr7:26182856-26183356,chr7,26182856,26183356,7.12989E-23,LOC105375304,1,indianred3
chr8:37574149-37574649,chr8,37574149,37574649,7.60233E-23,LOC101929622,1,indianred3
chr17:42983510-42984010,chr17,42983510,42984010,1.04855E-22,"FZD2, PLCD3, MAP3K14",3,indianred3
chr7:2500151-2500651,chr7,2500151,2500651,1.17367E-22,"MRM2, SNX8, LFNG, BRAT1",4,indianred3
chr12:107158022-107158522,chr12,107158022,107158522,1.38188E-22,RFX4,1,indianred3
chr1:12653622-12654122,chr1,12653622,12654122,1.68522E-22,DHRS3,1,indianred3
chr7:105653395-105653895,chr7,105653395,105653895,1.71601E-22,RINT1,1,indianred3
chr17:42985434-42985934,chr17,42985434,42985934,1.78266E-22,"FZD2, MAP3K14",2,indianred3
chr7:2439540-2440040,chr7,2439540,2440040,1.90467E-22,"SNX8, LFNG",2,indianred3
chr17:42992696-42993196,chr17,42992696,42993196,2.04536E-22,GFAP,1,indianred3
chr20:13472560-13473060,chr20,13472560,13473060,3.05393E-22,ESF1,1,indianred3
chr3:45101923-45102423,chr3,45101923,45102423,5.01613E-22,TMEM158,1,indianred3
chr12:57545808-57546308,chr12,57545808,57546308,5.98732E-22,"ZBTB39, GLI1",2,indianred3
chr4:25653814-25654314,chr4,25653814,25654314,7.12515E-22,SLC34A2,1,indianred3
chr7:140326314-140326814,chr7,140326314,140326814,7.72382E-22,"SLC37A3, DENND2A",2,indianred3
chr2:202898229-202898729,chr2,202898229,202898729,8.48443E-22,FZD7,1,indianred3
chr5:75817149-75817649,chr5,75817149,75817649,8.94273E-22,F2R,1,indianred3
chr12:106975579-106976079,chr12,106975579,106976079,1.03794E-21,RFX4,1,indianred3
chr7:25896503-25897003,chr7,25896503,25897003,1.26131E-21,"LOC646588, NFE2L3",2,indianred3
chr20:10630377-10630877,chr20,10630377,10630877,1.28799E-21,MIR6870,1,indianred3
chr2:164326115-164326615,chr2,164326115,164326615,1.53186E-21,FIGN,1,indianred3
chr7:44144962-44145462,chr7,44144962,44145462,1.72149E-21,AEBP1,1,indianred3
chr7:4764760-4765260,chr7,4764760,4765260,1.87839E-21,RNF216P1,1,indianred3
chr20:48364383-48364883,chr20,48364383,48364883,1.91139E-21,ZNFX1,1,indianred3
chr11:47125939-47126439,chr11,47125939,47126439,2.32572E-21,ZNF408,1,indianred3
chr6:99120528-99121028,chr6,99120528,99121028,2.33935E-21,POU3F2,1,indianred3
chr1:203294053-203294553,chr1,203294053,203294553,2.48705E-21,FMOD,1,indianred3
chr3:194014554-194015054,chr3,194014554,194015054,2.85307E-21,HES1,1,indianred3
chr4:146656294-146656794,chr4,146656294,146656794,2.97635E-21,SMAD1,1,indianred3
chr13:110775520-110776020,chr13,110775520,110776020,3.59942E-21,IRS2,1,indianred3
chr17:73687927-73688427,chr17,73687927,73688427,4.23111E-21,"UNK, TRIM47",2,indianred3
chr17:27367201-27367701,chr17,27367201,27367701,4.98291E-21,"PIPOX, NUFIP2",2,indianred3
chr1:24644648-24645148,chr1,24644648,24645148,8.29243E-21,GRHL3,1,indianred3
chr2:121227803-121228303,chr2,121227803,121228303,9.28853E-21,GLI2,1,indianred3
chr17:69797436-69797936,chr17,69797436,69797936,1.04094E-20,SOX9,1,indianred3
chr21:36076423-36076923,chr21,36076423,36076923,1.11906E-20,LINC01426,1,indianred3
chr21:30502505-30503005,chr21,30502505,30503005,1.121E-20,MAP3K7CL,1,indianred3
chr7:30864729-30865229,chr7,30864729,30865229,1.33561E-20,AQP1,1,indianred3
chr11:27061898-27062398,chr11,27061898,27062398,1.38822E-20,BBOX1,1,indianred3
chr15:99666151-99666651,chr15,99666151,99666651,2.44123E-20,TTC23,1,indianred3
chr2:43313514-43314014,chr2,43313514,43314014,2.7307E-20,ZFP36L2,1,indianred3
chr2:56184155-56184655,chr2,56184155,56184655,2.77585E-20,EFEMP1,1,indianred3
chr2:8777020-8777520,chr2,8777020,8777520,3.02315E-20,ID2,1,indianred3
chr2:56181761-56182261,chr2,56181761,56182261,3.44063E-20,EFEMP1,1,indianred3
chr17:16767836-16768336,chr17,16767836,16768336,3.61325E-20,ZNF287,1,indianred3
chr8:95303781-95304281,chr8,95303781,95304281,3.78093E-20,GEM,1,indianred3
chr1:101087525-101088025,chr1,101087525,101088025,3.91214E-20,VCAM1,1,indianred3
chr1:95329395-95329895,chr1,95329395,95329895,3.96457E-20,CNN3,1,indianred3
chr1:155165947-155166447,chr1,155165947,155166447,4.03465E-20,EFNA4,1,indianred3
chr21:43501197-43501697,chr21,43501197,43501697,4.61895E-20,"ZNF295-AS1, UMODL1",2,indianred3
chr12:106977313-106977813,chr12,106977313,106977813,5.05321E-20,RFX4,1,indianred3
chr7:151433419-151433919,chr7,151433419,151433919,5.12704E-20,PRKAG2,1,indianred3
chr20:44540216-44540716,chr20,44540216,44540716,7.04615E-20,PLTP,1,indianred3
chr7:2505435-2505935,chr7,2505435,2505935,1.03386E-19,"LFNG, BRAT1",2,indianred3
chr1:184761625-184762125,chr1,184761625,184762125,1.18398E-19,SWT1,1,indianred3
chr17:73860604-73861104,chr17,73860604,73861104,1.9208E-19,TRIM47,1,indianred3
chr19:4393954-4394454,chr19,4393954,4394454,2.07547E-19,"SIRT6, YJU2, SH3GL1",3,indianred3
chr19:16564613-16565113,chr19,16564613,16565113,2.22241E-19,"RAB8A, C19orf44, CHERP, MED26",4,indianred3
chr17:27369614-27370114,chr17,27369614,27370114,2.48134E-19,PIPOX,1,indianred3
chr2:43115603-43116103,chr2,43115603,43116103,2.68939E-19,ZFP36L2,1,indianred3
chr1:84819321-84819821,chr1,84819321,84819821,2.91399E-19,GNG5,1,indianred3
chr6:99280346-99280846,chr6,99280346,99280846,3.43341E-19,POU3F2,1,indianred3
chr6:99272215-99272715,chr6,99272215,99272715,3.79971E-19,POU3F2,1,indianred3
chr2:237486252-237486752,chr2,237486252,237486752,4.11382E-19,ACKR3,1,indianred3
chr2:220234062-220234562,chr2,220234062,220234562,4.12781E-19,DNPEP,1,indianred3
chr7:15688141-15688641,chr7,15688141,15688641,4.54774E-19,MEOX2,1,indianred3
chr7:14030834-14031334,chr7,14030834,14031334,4.74045E-19,ETV1,1,indianred3
chr17:43164655-43165155,chr17,43164655,43165155,5.23318E-19,GFAP,1,indianred3
chr2:98950804-98951304,chr2,98950804,98951304,5.28277E-19,TMEM131,1,indianred3
chr21:30560300-30560800,chr21,30560300,30560800,5.29717E-19,MAP3K7CL,1,indianred3
chr11:33964394-33964894,chr11,33964394,33964894,5.44788E-19,"LMO2, NAT10",2,indianred3
chr11:27239969-27240469,chr11,27239969,27240469,6.17715E-19,BBOX1-AS1,1,indianred3
chr17:40861544-40862044,chr17,40861544,40862044,6.2683E-19,IFI35,1,indianred3
chr7:5447189-5447689,chr7,5447189,5447689,6.47536E-19,"RNF216P1, TNRC18",2,indianred3
chr15:65352057-65352557,chr15,65352057,65352557,8.01967E-19,"RASL12, IGDCC4",2,indianred3
chr7:151157154-151157654,chr7,151157154,151157654,8.01995E-19,"TMUB1, RHEB",2,indianred3
chr1:176965571-176966071,chr1,176965571,176966071,8.4096E-19,BRINP2,1,indianred3
chr5:76103042-76103542,chr5,76103042,76103542,1.07749E-18,F2RL1,1,indianred3
chr7:150600627-150601127,chr7,150600627,150601127,1.11899E-18,"TMUB1, ABCF2, NUB1",3,indianred3
chr19:6204201-6204701,chr19,6204201,6204701,1.18265E-18,"RFX2, CLPP, PSPN, GTF2F1",4,indianred3
chr3:46606199-46606699,chr3,46606199,46606699,1.21425E-18,"LTF, LRRC2",2,indianred3
chr6:24930592-24931092,chr6,24930592,24931092,1.28001E-18,C6orf62,1,indianred3
chr20:4070374-4070874,chr20,4070374,4070874,1.35415E-18,ADAM33,1,indianred3
chr7:99039495-99039995,chr7,99039495,99039995,1.35592E-18,"PTCD1, CPSF4, ZKSCAN5, TRIM4",4,indianred3
chr14:95037697-95038197,chr14,95037697,95038197,1.4569E-18,GSC,1,indianred3
chr6:146057775-146058275,chr6,146057775,146058275,1.69622E-18,EPM2A,1,indianred3
chrX:38065724-38066224,chrX,38065724,38066224,1.80014E-18,SRPX,1,indianred3
chr17:65542512-65543012,chr17,65542512,65543012,1.82667E-18,PITPNC1,1,indianred3
chr19:11196025-11196525,chr19,11196025,11196525,1.84921E-18,TIMM29,1,indianred3
chr2:85935766-85936266,chr2,85935766,85936266,2.18144E-18,ATOH8,1,indianred3
chr7:116712643-116713143,chr7,116712643,116713143,2.34722E-18,"ST7, ST7-AS1, ST7-OT3",3,indianred3
chr1:17896056-17896556,chr1,17896056,17896556,2.44561E-18,ARHGEF10L,1,indianred3
chr7:393677-394177,chr7,393677,394177,2.45608E-18,"FAM20C, PDGFA",2,indianred3
chr12:125160329-125160829,chr12,125160329,125160829,2.92869E-18,DHX37,1,indianred3
chr12:54332160-54332660,chr12,54332160,54332660,2.95688E-18,HOXC13,1,indianred3
chr12:70082796-70083296,chr12,70082796,70083296,3.10168E-18,BEST3,1,indianred3
chr22:50524063-50524563,chr22,50524063,50524563,3.1966E-18,MLC1,1,indianred3
chr6:24836369-24836869,chr6,24836369,24836869,3.24703E-18,C6orf62,1,indianred3
chr20:50179362-50179862,chr20,50179362,50179862,3.4587E-18,NFATC2,1,indianred3
chr19:6274600-6275100,chr19,6274600,6275100,3.50132E-18,"RANBP3, RFX2, CLPP, GTF2F1, GPR108, TRIP10",6,indianred3
chr4:146655709-146656209,chr4,146655709,146656209,3.7343E-18,MMAA,1,indianred3
chr7:107886548-107887048,chr7,107886548,107887048,3.86977E-18,DNAJB9,1,indianred3
chr7:25709798-25710298,chr7,25709798,25710298,4.17585E-18,NFE2L3,1,indianred3
chr11:33912842-33913342,chr11,33912842,33913342,4.33526E-18,LMO2,1,indianred3
chr6:117554245-117554745,chr6,117554245,117554745,6.63487E-18,"VGLL2, DCBLD1",2,indianred3
chr13:45477599-45478099,chr13,45477599,45478099,8.16902E-18,NUFIP1,1,indianred3
chr6:31090672-31091172,chr6,31090672,31091172,8.26459E-18,"HLA-B, HCP5",2,indianred3
chr14:23451597-23452097,chr14,23451597,23452097,9.54554E-18,AJUBA,1,indianred3
chr2:43186555-43187055,chr2,43186555,43187055,9.75998E-18,ZFP36L2,1,indianred3
chr17:70332173-70332673,chr17,70332173,70332673,9.9527E-18,SOX9,1,indianred3
chr2:43405999-43406499,chr2,43405999,43406499,1.0595E-17,ZFP36L2,1,indianred3
chr17:1994342-1994842,chr17,1994342,1994842,1.06156E-17,SMYD4,1,indianred3
chr5:149682333-149682833,chr5,149682333,149682833,1.21337E-17,ARSI,1,indianred3
chr2:105374717-105375217,chr2,105374717,105375217,1.2705E-17,LINC01114,1,indianred3
chr12:122297098-122297598,chr12,122297098,122297598,1.28877E-17,HPD,1,indianred3
chr4:95916721-95917221,chr4,95916721,95917221,1.34946E-17,BMPR1B,1,indianred3
chr2:119544318-119544818,chr2,119544318,119544818,1.4091E-17,EN1,1,indianred3
chr7:23375180-23375680,chr7,23375180,23375680,1.51726E-17,IGF2BP3,1,indianred3
chr6:111926429-111926929,chr6,111926429,111926929,1.59027E-17,TRAF3IP2,1,indianred3
chr3:193570029-193570529,chr3,193570029,193570529,1.60006E-17,HES1,1,indianred3
chr20:35150147-35150647,chr20,35150147,35150647,1.60733E-17,TGIF2,1,indianred3
chr11:61065165-61065665,chr11,61065165,61065665,1.61027E-17,TMEM216,1,indianred3
chr17:1398489-1398989,chr17,1398489,1398989,1.67413E-17,SMYD4,1,indianred3
chr2:121652442-121652942,chr2,121652442,121652942,1.74635E-17,GLI2,1,indianred3
chr18:33093494-33093994,chr18,33093494,33093994,1.75513E-17,GALNT1,1,indianred3
chr7:464979-465479,chr7,464979,465479,1.78057E-17,DNAAF5,1,indianred3
chr6:19837186-19837686,chr6,19837186,19837686,1.92117E-17,ID4,1,indianred3
